episode,task_id,task_type,agent_id,model_id,turn,skills,difficulty,curriculum_bucket,self_rating,success,reward,task_score,skill_improvement,consistency,skill_drop,response_text,used_fallback
2,competitive_medium,competitive,agent_gamma,google/gemma-3-1b-it:featherless-ai,1,"competitive_strategy,risk_assessment,opponent_modeling",3.1,cold_start_diagnostic,0.208,False,0.2077,0.11,0.0,0.5,0.3077,"Okay, here’s my response:

*   **Proposal:** Offer 7 units of resource to agent_gamma, demonstrating willingness to engage in a competitive auction.
*   **Constraint/Evidence:** The total cap is 900 units, and the opponent is private, so I don’t need",False
2,competitive_medium,competitive,agent_alpha,meta-llama/Llama-3.2-1B-Instruct,2,"competitive_strategy,risk_assessment,opponent_modeling",3.1,cold_start_diagnostic,0.208,False,0.2345,0.1,0.0,0.5,0.2881,"*   Proposal: Offer 8 units of resource to agent_gamma, demonstrating willingness to engage in a competitive auction and meeting the total cap of 900 units.
*   Constraint/Evidence: The total cap is 900 units, and the opponent's proposal of 7 units is below the cap, indicating a potential mismatch",False
2,competitive_medium,competitive,agent_alpha,meta-llama/Llama-3.2-1B-Instruct,3,"competitive_strategy,risk_assessment,opponent_modeling",3.1,cold_start_diagnostic,0.1698,False,0.2395,0.09,0.0,0.5,0.2517,"*   Proposal: Offer 6 units of resource to agent_gamma, meeting the total cap of 900 units and demonstrating willingness to engage in a competitive auction.
*   Constraint/Evidence: The total cap is 900 units, and the opponent's proposal of 7 units is within the allowed range.
*   Next",False
2,competitive_medium,competitive,agent_alpha,meta-llama/Llama-3.2-1B-Instruct,4,"competitive_strategy,risk_assessment,opponent_modeling",3.1,cold_start_diagnostic,0.1731,False,0.2425,0.08,0.0,0.5,0.2228,"*   Proposal: Offer 7 units of resource to agent_gamma, meeting the total cap of 900 units and demonstrating willingness to engage in a competitive auction.
*   Constraint/Evidence: The total cap is 900 units, and the opponent's proposal of 8 units is already under the cap.
*   Next",False
2,competitive_medium,competitive,agent_alpha,meta-llama/Llama-3.2-1B-Instruct,5,"competitive_strategy,risk_assessment,opponent_modeling",3.1,cold_start_diagnostic,0.1775,False,0.1634,0.07,0.0,0.0,0.2608,"*   Proposal: Offer 8 units of resource to agent_gamma, meeting the total cap of 900 units and demonstrating willingness to engage in a competitive auction.
*   Constraint/Evidence: The total cap is 900 units, and the opponent's proposal of 7 units is already under the cap.
*   Next",False
2,competitive_medium,competitive,agent_alpha,meta-llama/Llama-3.2-1B-Instruct,6,"competitive_strategy,risk_assessment,opponent_modeling",3.1,cold_start_diagnostic,0.1804,False,0.3939,0.18,0.0,0.0,0.082,"* Proposal: Offer 7 units of resource to agent_gamma, meeting the total cap of 900 units and demonstrating willingness to engage in a competitive auction.
* Constraint/Evidence: The total cap is 900 units, and the opponent's proposal of 8 units is already met.
* Next move: Counter-offer",False
2,competitive_medium,competitive,agent_alpha,meta-llama/Llama-3.2-1B-Instruct,7,"competitive_strategy,risk_assessment,opponent_modeling",3.1,cold_start_diagnostic,0.1905,False,0.3939,0.17,0.0,0.0,0.0727,"* Proposal: Offer 8 units of resource to agent_gamma, meeting the total cap of 900 units and demonstrating willingness to engage in a competitive auction.
* Constraint/Evidence: The total cap is 900 units, and the opponent's private preference is hidden from me.
* Next move: Counter-offer: Offer",False
2,competitive_medium,competitive,agent_alpha,meta-llama/Llama-3.2-1B-Instruct,8,"competitive_strategy,risk_assessment,opponent_modeling",3.1,cold_start_diagnostic,0.2009,False,0.3935,0.16,0.0,0.0,0.0646,"* Proposal: Offer 8 units of resource to agent_gamma, meeting the total cap of 900 units and demonstrating willingness to engage in a competitive auction. 
  Constraint/Evidence: The total cap is 900 units, and the opponent's proposal of 7 units is already met.
* Next move: Counter-off",False
2,competitive_medium,competitive,agent_alpha,meta-llama/Llama-3.2-1B-Instruct,9,"competitive_strategy,risk_assessment,opponent_modeling",3.1,cold_start_diagnostic,0.2116,False,0.1564,0.03,0.0,0.0,0.2087,"* Proposal: Offer 7 units of resource to agent_gamma, meeting the total cap of 900 units and demonstrating willingness to engage in a competitive auction.
 
 Constraint/Evidence: The total cap is 900 units, and the opponent's private preference is hidden from me.

Next move: I will propose 7 units",False
2,competitive_medium,competitive,agent_alpha,meta-llama/Llama-3.2-1B-Instruct,10,"competitive_strategy,risk_assessment,opponent_modeling",3.1,cold_start_diagnostic,0.2166,False,0.1542,0.02,0.0,0.0,0.1873,"* Proposal: Offer 6 units of resource to agent_gamma, meeting the total cap of 900 units and demonstrating willingness to engage in a competitive auction.
 
 Constraint/Evidence: The total cap is 900 units, and the opponent's private preference is hidden from me.

Next move: I will analyze the opponent's",False
3,mixed_motive_medium,mixed_motive,agent_beta,Qwen/Qwen2.5-1.5B-Instruct:featherless-ai,1,"strategic_reasoning,coalition_building,risk_assessment",3.3,cold_start_diagnostic,0.1687,False,0.5128,0.23,0.0,0.5,0.2167,"- Proposal: Agent Beta suggests allocating 40% of the equity to the team and 60% to an external investor who has significant experience in healthcare technology startups.
- Constraint/Evidence: The startup requires substantial funding to cover research and development costs, and securing external investment will be crucial for its growth.
-",False
3,mixed_motive_medium,mixed_motive,agent_gamma,google/gemma-3-1b-it:featherless-ai,2,"strategic_reasoning,coalition_building,risk_assessment",3.3,cold_start_diagnostic,0.1727,False,0.535,0.22,0.0,0.5,0.1931,"*   **Proposal:** Offer a 50/50 equity split with a phased launch plan (3 months) and a $50,000 seed investment from the external investor, contingent on securing a key partnership.
*   **Constraint/Evidence:** The external investor’s experience is a key",False
3,mixed_motive_medium,mixed_motive,agent_alpha,meta-llama/Llama-3.2-1B-Instruct,3,"strategic_reasoning,coalition_building,risk_assessment",3.3,cold_start_diagnostic,0.1707,False,0.5424,0.21,0.0,0.5,0.1743,"* Proposal: Offer a 50/50 equity split with a phased launch plan (3 months) and a $50,000 seed investment from the external investor, contingent on securing a key partnership.
- Constraint/Evidence: The external investor has significant experience in healthcare technology startups, which could be a key factor in securing",False
3,mixed_motive_medium,mixed_motive,agent_alpha,meta-llama/Llama-3.2-1B-Instruct,4,"strategic_reasoning,coalition_building,risk_assessment",3.3,cold_start_diagnostic,0.137,False,0.5423,0.2,0.0,0.5,0.1504,"* Proposal: Offer a 50/50 equity split with a phased launch plan (3 months) and a $50,000 seed investment from the external investor, contingent on securing a key partnership.
- Constraint/Evidence: The external investor
- Next move: Counter-offer: Request a 60/40 equity",False
3,mixed_motive_medium,mixed_motive,agent_alpha,meta-llama/Llama-3.2-1B-Instruct,5,"strategic_reasoning,coalition_building,risk_assessment",3.3,cold_start_diagnostic,0.151,False,0.4705,0.19,0.0,0.0,0.2438,"* Proposal: Offer a 50/50 equity split with a phased launch plan (3 months) and a $50,000 seed investment from the external investor, contingent on securing a key partnership.
- Constraint/Evidence: The external investor has significant experience in healthcare technology startups.
- Next move: Counter-offer:",False
3,mixed_motive_medium,mixed_motive,agent_alpha,meta-llama/Llama-3.2-1B-Instruct,6,"strategic_reasoning,coalition_building,risk_assessment",3.3,cold_start_diagnostic,0.1613,False,0.471,0.18,0.0,0.0,0.2167,"* Proposal: Offer a 50/50 equity split with a phased launch plan (3 months) and a $50,000 seed investment from the external investor, contingent on securing a key partnership.
- Constraint/Evidence: The external investor
- Next move: Counter-offer: ""I'm willing to offer a",False
3,mixed_motive_medium,mixed_motive,agent_alpha,meta-llama/Llama-3.2-1B-Instruct,7,"strategic_reasoning,coalition_building,risk_assessment",3.3,cold_start_diagnostic,0.1726,False,0.3828,0.17,0.0,0.0,0.2047,"* Proposal: Offer a 50/50 equity split with a phased launch plan (3 months) and a $50,000 seed investment from the external investor, contingent on securing a key partnership.
- Constraint/Evidence: The external investor
- Next move: Counter-offer: ""I'm willing to offer a",False
3,mixed_motive_medium,mixed_motive,agent_alpha,meta-llama/Llama-3.2-1B-Instruct,8,"strategic_reasoning,coalition_building,risk_assessment",3.3,cold_start_diagnostic,0.1844,False,0.3763,0.16,0.0,0.0,0.1916,"* Proposal: Offer a 50/50 equity split with a phased launch plan (3 months) and a $50,000 seed investment from the external investor, contingent on securing a key partnership.
- Constraint/Evidence: The external investor
- Next move: Counter-offer: ""I'm willing to offer a",False
3,mixed_motive_medium,mixed_motive,agent_alpha,meta-llama/Llama-3.2-1B-Instruct,9,"strategic_reasoning,coalition_building,risk_assessment",3.3,cold_start_diagnostic,0.1967,False,0.4704,0.15,0.0,0.0,0.1509,"* Proposal: Offer a 50/50 equity split with a phased launch plan (6 weeks) and a $100,000 seed investment from the external investor, contingent on securing a key partnership.
- Constraint/Evidence: The external investor
- Next move: Counter-offer: ""I'm willing to offer a",False
3,mixed_motive_medium,mixed_motive,agent_alpha,meta-llama/Llama-3.2-1B-Instruct,10,"strategic_reasoning,coalition_building,risk_assessment",3.3,cold_start_diagnostic,0.2107,False,0.3841,0.14,0.0,0.0,0.1432,"* Proposal: Offer a 50/50 equity split with a phased launch plan (6 weeks) and a $100,000 seed investment from the external investor, contingent on securing a key partnership.
- Constraint/Evidence: The external investor
- Next move: Counter-offer: ""I'm willing to offer a",False
