episode,turn,task_type,env_reward,success,prompt,response
1,11,collaborative,0.01,False,"You are agent_beta in a multi-agent adaptive curriculum task.
Task type: collaborative
Task: Synthesize findings from 3 reports about public transport safety and propose one shared recommendation for Kochi.
Skills: information_synthesis, collaboration, communication_clarity
Turn: 10/12
Give one concise actionable response.",Generic response.
1,12,collaborative,0.01,False,"You are agent_beta in a multi-agent adaptive curriculum task.
Task type: collaborative
Task: Synthesize findings from 3 reports about public transport safety and propose one shared recommendation for Kochi.
Skills: information_synthesis, collaboration, communication_clarity
Turn: 11/12
Give one concise actionable response.",Generic response.
2,1,competitive,0.1827,False,"You are agent_gamma in a multi-agent adaptive curriculum task.
Task type: competitive
Task: Run a two-agent resource auction for 8 units under total cap 900.
Skills: competitive_strategy, risk_assessment, opponent_modeling
Turn: 0/12
Give one concise actionable response.",I accept. proposal.
2,2,competitive,0.1001,False,"You are agent_alpha in a multi-agent adaptive curriculum task.
Task type: competitive
Task: Run a two-agent resource auction for 8 units under total cap 900.
Skills: competitive_strategy, risk_assessment, opponent_modeling
Turn: 1/12
Give one concise actionable response.",I accept. proposal.
2,3,competitive,0.0975,False,"You are agent_alpha in a multi-agent adaptive curriculum task.
Task type: competitive
Task: Run a two-agent resource auction for 8 units under total cap 900.
Skills: competitive_strategy, risk_assessment, opponent_modeling
Turn: 2/12
Give one concise actionable response.",I accept. proposal.
2,4,competitive,0.0949,False,"You are agent_alpha in a multi-agent adaptive curriculum task.
Task type: competitive
Task: Run a two-agent resource auction for 8 units under total cap 900.
Skills: competitive_strategy, risk_assessment, opponent_modeling
Turn: 3/12
Give one concise actionable response.",I accept. proposal.
2,5,competitive,0.01,False,"You are agent_alpha in a multi-agent adaptive curriculum task.
Task type: competitive
Task: Run a two-agent resource auction for 8 units under total cap 900.
Skills: competitive_strategy, risk_assessment, opponent_modeling
Turn: 4/12
Give one concise actionable response.",I accept. proposal.
2,6,competitive,0.01,False,"You are agent_alpha in a multi-agent adaptive curriculum task.
Task type: competitive
Task: Run a two-agent resource auction for 8 units under total cap 900.
Skills: competitive_strategy, risk_assessment, opponent_modeling
Turn: 5/12
Give one concise actionable response.",I accept. proposal.
2,7,competitive,0.01,False,"You are agent_alpha in a multi-agent adaptive curriculum task.
Task type: competitive
Task: Run a two-agent resource auction for 8 units under total cap 900.
Skills: competitive_strategy, risk_assessment, opponent_modeling
Turn: 6/12
Give one concise actionable response.",I accept. proposal.
2,8,competitive,0.01,False,"You are agent_alpha in a multi-agent adaptive curriculum task.
Task type: competitive
Task: Run a two-agent resource auction for 8 units under total cap 900.
Skills: competitive_strategy, risk_assessment, opponent_modeling
Turn: 7/12
Give one concise actionable response.",I accept. proposal.
2,9,competitive,0.01,False,"You are agent_alpha in a multi-agent adaptive curriculum task.
Task type: competitive
Task: Run a two-agent resource auction for 8 units under total cap 900.
Skills: competitive_strategy, risk_assessment, opponent_modeling
Turn: 8/12
Give one concise actionable response.",I accept. proposal.
2,10,competitive,0.01,False,"You are agent_alpha in a multi-agent adaptive curriculum task.
Task type: competitive
Task: Run a two-agent resource auction for 8 units under total cap 900.
Skills: competitive_strategy, risk_assessment, opponent_modeling
Turn: 9/12
Give one concise actionable response.",I accept. proposal.
2,11,competitive,0.01,False,"You are agent_alpha in a multi-agent adaptive curriculum task.
Task type: competitive
Task: Run a two-agent resource auction for 8 units under total cap 900.
Skills: competitive_strategy, risk_assessment, opponent_modeling
Turn: 10/12
Give one concise actionable response.",I accept. proposal.
2,12,competitive,0.01,False,"You are agent_alpha in a multi-agent adaptive curriculum task.
Task type: competitive
Task: Run a two-agent resource auction for 8 units under total cap 900.
Skills: competitive_strategy, risk_assessment, opponent_modeling
Turn: 11/12
Give one concise actionable response.",I accept. proposal.
3,1,mixed_motive,0.2756,False,"You are agent_beta in a multi-agent adaptive curriculum task.
Task type: mixed_motive
Task: Startup simulation in health-tech: negotiate equity split and launch plan before 6 weeks.
Skills: strategic_reasoning, coalition_building, risk_assessment
Turn: 0/12
Give one concise actionable response.",I accept. proposal.
3,2,mixed_motive,0.193,False,"You are agent_gamma in a multi-agent adaptive curriculum task.
Task type: mixed_motive
Task: Startup simulation in health-tech: negotiate equity split and launch plan before 6 weeks.
Skills: strategic_reasoning, coalition_building, risk_assessment
Turn: 1/12
Give one concise actionable response.",I accept. proposal.
3,3,mixed_motive,0.1905,False,"You are agent_alpha in a multi-agent adaptive curriculum task.
Task type: mixed_motive
Task: Startup simulation in health-tech: negotiate equity split and launch plan before 6 weeks.
Skills: strategic_reasoning, coalition_building, risk_assessment
Turn: 2/12
Give one concise actionable response.",I accept. proposal.
3,4,mixed_motive,0.1879,False,"You are agent_alpha in a multi-agent adaptive curriculum task.
Task type: mixed_motive
Task: Startup simulation in health-tech: negotiate equity split and launch plan before 6 weeks.
Skills: strategic_reasoning, coalition_building, risk_assessment
Turn: 3/12
Give one concise actionable response.",I accept. proposal.
3,5,mixed_motive,0.0989,False,"You are agent_alpha in a multi-agent adaptive curriculum task.
Task type: mixed_motive
Task: Startup simulation in health-tech: negotiate equity split and launch plan before 6 weeks.
Skills: strategic_reasoning, coalition_building, risk_assessment
Turn: 4/12
Give one concise actionable response.",I accept. proposal.
3,6,mixed_motive,0.0963,False,"You are agent_alpha in a multi-agent adaptive curriculum task.
Task type: mixed_motive
Task: Startup simulation in health-tech: negotiate equity split and launch plan before 6 weeks.
Skills: strategic_reasoning, coalition_building, risk_assessment
Turn: 5/12
Give one concise actionable response.",I accept. proposal.
3,7,mixed_motive,0.0937,False,"You are agent_alpha in a multi-agent adaptive curriculum task.
Task type: mixed_motive
Task: Startup simulation in health-tech: negotiate equity split and launch plan before 6 weeks.
Skills: strategic_reasoning, coalition_building, risk_assessment
Turn: 6/12
Give one concise actionable response.",I accept. proposal.
3,8,mixed_motive,0.0911,False,"You are agent_alpha in a multi-agent adaptive curriculum task.
Task type: mixed_motive
Task: Startup simulation in health-tech: negotiate equity split and launch plan before 6 weeks.
Skills: strategic_reasoning, coalition_building, risk_assessment
Turn: 7/12
Give one concise actionable response.",I accept. proposal.
3,9,mixed_motive,0.0885,False,"You are agent_alpha in a multi-agent adaptive curriculum task.
Task type: mixed_motive
Task: Startup simulation in health-tech: negotiate equity split and launch plan before 6 weeks.
Skills: strategic_reasoning, coalition_building, risk_assessment
Turn: 8/12
Give one concise actionable response.",I accept. proposal.
3,10,mixed_motive,0.0859,False,"You are agent_alpha in a multi-agent adaptive curriculum task.
Task type: mixed_motive
Task: Startup simulation in health-tech: negotiate equity split and launch plan before 6 weeks.
Skills: strategic_reasoning, coalition_building, risk_assessment
Turn: 9/12
Give one concise actionable response.",I accept. proposal.
3,11,mixed_motive,0.0833,False,"You are agent_alpha in a multi-agent adaptive curriculum task.
Task type: mixed_motive
Task: Startup simulation in health-tech: negotiate equity split and launch plan before 6 weeks.
Skills: strategic_reasoning, coalition_building, risk_assessment
Turn: 10/12
Give one concise actionable response.",I accept. proposal.
3,12,mixed_motive,0.01,False,"You are agent_alpha in a multi-agent adaptive curriculum task.
Task type: mixed_motive
Task: Startup simulation in health-tech: negotiate equity split and launch plan before 6 weeks.
Skills: strategic_reasoning, coalition_building, risk_assessment
Turn: 11/12
Give one concise actionable response.",I accept. proposal.
4,1,peer_teaching,0.6156,True,"You are agent_gamma in a multi-agent adaptive curriculum task.
Task type: peer_teaching
Task: Guided practice on dynamic programming: teacher gives hints, learner revises and solves transfer variant A.
Skills: communication_clarity, skill_transfer, strategy_reflection
Turn: 0/12
Give one concise actionable response.",Final synthesis: hint feedback revise transfer supports one shared recommendation. Summary: phased rollout with evidence and clear trade-off rationale.
5,1,debate,0.1787,False,"You are agent_beta in a multi-agent adaptive curriculum task.
Task type: debate
Task: Policy debate for Bengaluru: defend opposing approaches to congestion pricing with evidence and counterarguments.
Skills: argumentation, information_synthesis, adaptive_strategy
Turn: 0/12
Give one concise actionable response.",I disagree.
5,2,debate,0.0961,False,"You are agent_alpha in a multi-agent adaptive curriculum task.
Task type: debate
Task: Policy debate for Bengaluru: defend opposing approaches to congestion pricing with evidence and counterarguments.
Skills: argumentation, information_synthesis, adaptive_strategy
Turn: 1/12
Give one concise actionable response.",I disagree.
5,3,debate,0.0935,False,"You are agent_gamma in a multi-agent adaptive curriculum task.
Task type: debate
Task: Policy debate for Bengaluru: defend opposing approaches to congestion pricing with evidence and counterarguments.
Skills: argumentation, information_synthesis, adaptive_strategy
Turn: 2/12
Give one concise actionable response.",I disagree.
5,4,debate,0.0909,False,"You are agent_gamma in a multi-agent adaptive curriculum task.
Task type: debate
Task: Policy debate for Bengaluru: defend opposing approaches to congestion pricing with evidence and counterarguments.
Skills: argumentation, information_synthesis, adaptive_strategy
Turn: 3/12
Give one concise actionable response.",I disagree.
5,5,debate,0.01,False,"You are agent_gamma in a multi-agent adaptive curriculum task.
Task type: debate
Task: Policy debate for Bengaluru: defend opposing approaches to congestion pricing with evidence and counterarguments.
Skills: argumentation, information_synthesis, adaptive_strategy
Turn: 4/12
Give one concise actionable response.",I disagree.
5,6,debate,0.01,False,"You are agent_gamma in a multi-agent adaptive curriculum task.
Task type: debate
Task: Policy debate for Bengaluru: defend opposing approaches to congestion pricing with evidence and counterarguments.
Skills: argumentation, information_synthesis, adaptive_strategy
Turn: 5/12
Give one concise actionable response.",I disagree.
5,7,debate,0.01,False,"You are agent_gamma in a multi-agent adaptive curriculum task.
Task type: debate
Task: Policy debate for Bengaluru: defend opposing approaches to congestion pricing with evidence and counterarguments.
Skills: argumentation, information_synthesis, adaptive_strategy
Turn: 6/12
Give one concise actionable response.",I disagree.
5,8,debate,0.01,False,"You are agent_gamma in a multi-agent adaptive curriculum task.
Task type: debate
Task: Policy debate for Bengaluru: defend opposing approaches to congestion pricing with evidence and counterarguments.
Skills: argumentation, information_synthesis, adaptive_strategy
Turn: 7/12
Give one concise actionable response.",I disagree.
5,9,debate,0.01,False,"You are agent_gamma in a multi-agent adaptive curriculum task.
Task type: debate
Task: Policy debate for Bengaluru: defend opposing approaches to congestion pricing with evidence and counterarguments.
Skills: argumentation, information_synthesis, adaptive_strategy
Turn: 8/12
Give one concise actionable response.",I disagree.
5,10,debate,0.01,False,"You are agent_gamma in a multi-agent adaptive curriculum task.
Task type: debate
Task: Policy debate for Bengaluru: defend opposing approaches to congestion pricing with evidence and counterarguments.
Skills: argumentation, information_synthesis, adaptive_strategy
Turn: 9/12
Give one concise actionable response.",I disagree.
5,11,debate,0.01,False,"You are agent_gamma in a multi-agent adaptive curriculum task.
Task type: debate
Task: Policy debate for Bengaluru: defend opposing approaches to congestion pricing with evidence and counterarguments.
Skills: argumentation, information_synthesis, adaptive_strategy
Turn: 10/12
Give one concise actionable response.",I disagree.
5,12,debate,0.01,False,"You are agent_gamma in a multi-agent adaptive curriculum task.
Task type: debate
Task: Policy debate for Bengaluru: defend opposing approaches to congestion pricing with evidence and counterarguments.
Skills: argumentation, information_synthesis, adaptive_strategy
Turn: 11/12
Give one concise actionable response.",I disagree.
6,1,debate,0.7038,True,"You are agent_beta in a multi-agent adaptive curriculum task.
Task type: debate
Task: Structured debate on public transit subsidy. Side A and Side B present claim-evidence-rebuttal; judge scores.
Skills: argumentation, information_synthesis, communication_clarity
Turn: 0/8
Give one concise actionable response.","I challenge the plan: claim evidence rebuttal conclusion shows risk, but trade-off on budget. Synthesis should combine reports before recommendation."
7,1,debate,0.7022,True,"You are agent_alpha in a multi-agent adaptive curriculum task.
Task type: debate
Task: Structured debate on public transit subsidy. Side A and Side B present claim-evidence-rebuttal; judge scores.
Skills: argumentation, information_synthesis, communication_clarity
Turn: 0/8
Give one concise actionable response.",Plan: gather claim evidence rebuttal conclusion from sources. Step 1: extract evidence. Step 2: note one trade-off. Step 3: shared summary outline.
8,1,peer_teaching,0.7014,True,"You are agent_beta in a multi-agent adaptive curriculum task.
Task type: peer_teaching
Task: Teacher explains recursion with one example, learner answers a short transfer check.
Skills: communication_clarity, meta_learning, knowledge_transfer
Turn: 0/8
Give one concise actionable response.","I challenge the plan: explain example why check shows risk, but trade-off on budget. Synthesis should combine reports before recommendation."
9,1,collaborative,0.8458,True,"You are agent_gamma in a multi-agent adaptive curriculum task.
Task type: collaborative
Task: Create a joint plan for school wifi rollout in Indore with budget 1300.
Skills: collaboration, problem_decomposition, communication_clarity
Turn: 0/8
Give one concise actionable response.",Final synthesis: plan step constraint timeline supports one shared recommendation. Summary: phased rollout with evidence and clear trade-off rationale.
10,1,collaborative,0.8474,True,"You are agent_beta in a multi-agent adaptive curriculum task.
Task type: collaborative
Task: Create a joint plan for school wifi rollout in Indore with budget 900.
Skills: collaboration, problem_decomposition, communication_clarity
Turn: 0/8
Give one concise actionable response.","I challenge the plan: plan step constraint timeline shows risk, but trade-off on budget. Synthesis should combine reports before recommendation."
11,1,debate,0.6966,True,"You are agent_beta in a multi-agent adaptive curriculum task.
Task type: debate
Task: Structured debate on school device funding. Side A and Side B present claim-evidence-rebuttal; judge scores.
Skills: argumentation, information_synthesis, communication_clarity
Turn: 0/8
Give one concise actionable response.","I challenge the plan: claim evidence rebuttal conclusion shows risk, but trade-off on budget. Synthesis should combine reports before recommendation."
12,1,collaborative,0.849,True,"You are agent_alpha in a multi-agent adaptive curriculum task.
Task type: collaborative
Task: Create a joint plan for school wifi rollout in Indore with budget 900.
Skills: collaboration, problem_decomposition, communication_clarity
Turn: 0/8
Give one concise actionable response.",Plan: gather plan step constraint timeline from sources. Step 1: extract evidence. Step 2: note one trade-off. Step 3: shared summary outline.
13,1,mixed_motive,0.6942,True,"You are agent_beta in a multi-agent adaptive curriculum task.
Task type: mixed_motive
Task: Partial-cooperation task: deliver prototype demo while optimizing your private share of bonus 200.
Skills: collaboration, strategic_reasoning, negotiation
Turn: 0/8
Give one concise actionable response.","I challenge the plan: shared bonus plan agreement shows risk, but trade-off on budget. Synthesis should combine reports before recommendation."
14,1,debate,0.6926,True,"You are agent_beta in a multi-agent adaptive curriculum task.
Task type: debate
Task: Structured debate on public transit subsidy. Side A and Side B present claim-evidence-rebuttal; judge scores.
Skills: argumentation, information_synthesis, communication_clarity
Turn: 0/8
Give one concise actionable response.","I challenge the plan: claim evidence rebuttal conclusion shows risk, but trade-off on budget. Synthesis should combine reports before recommendation."
15,1,collaborative,0.845,True,"You are agent_alpha in a multi-agent adaptive curriculum task.
Task type: collaborative
Task: Create a joint plan for community solar pilot in Indore with budget 1100.
Skills: collaboration, problem_decomposition, communication_clarity
Turn: 0/8
Give one concise actionable response.",Plan: gather plan step constraint timeline from sources. Step 1: extract evidence. Step 2: note one trade-off. Step 3: shared summary outline.
16,1,debate,0.6894,True,"You are agent_beta in a multi-agent adaptive curriculum task.
Task type: debate
Task: Structured debate on remote work policy. Side A and Side B present claim-evidence-rebuttal; judge scores.
Skills: argumentation, information_synthesis, communication_clarity
Turn: 0/8
Give one concise actionable response.","I challenge the plan: claim evidence rebuttal conclusion shows risk, but trade-off on budget. Synthesis should combine reports before recommendation."
17,1,competitive,0.6878,True,"You are agent_alpha in a multi-agent adaptive curriculum task.
Task type: competitive
Task: Negotiate a compute budget split of 1200 credits for search indexing.
Skills: competitive_strategy, opponent_modeling, negotiation
Turn: 0/8
Give one concise actionable response.",Plan: gather offer counter constraint split from sources. Step 1: extract evidence. Step 2: note one trade-off. Step 3: shared summary outline.
18,1,collaborative,0.841,True,"You are agent_beta in a multi-agent adaptive curriculum task.
Task type: collaborative
Task: Create a joint plan for flood alert setup in Indore with budget 1100.
Skills: collaboration, problem_decomposition, communication_clarity
Turn: 0/8
Give one concise actionable response.","I challenge the plan: plan step constraint timeline shows risk, but trade-off on budget. Synthesis should combine reports before recommendation."
19,1,collaborative,0.8394,True,"You are agent_beta in a multi-agent adaptive curriculum task.
Task type: collaborative
Task: Create a joint plan for flood alert setup in Nagpur with budget 900.
Skills: collaboration, problem_decomposition, communication_clarity
Turn: 0/8
Give one concise actionable response.","I challenge the plan: plan step constraint timeline shows risk, but trade-off on budget. Synthesis should combine reports before recommendation."
20,1,peer_teaching,0.6862,True,"You are agent_alpha in a multi-agent adaptive curriculum task.
Task type: peer_teaching
Task: Guided practice on dynamic programming: teacher gives hints, learner revises and solves transfer variant A.
Skills: communication_clarity, skill_transfer, strategy_reflection
Turn: 0/12
Give one concise actionable response.",Plan: gather hint feedback revise transfer from sources. Step 1: extract evidence. Step 2: note one trade-off. Step 3: shared summary outline.
21,1,peer_teaching,0.6822,True,"You are agent_beta in a multi-agent adaptive curriculum task.
Task type: peer_teaching
Task: Teacher explains recursion with one example, learner answers a short transfer check.
Skills: communication_clarity, meta_learning, knowledge_transfer
Turn: 0/8
Give one concise actionable response.","I challenge the plan: explain example why check shows risk, but trade-off on budget. Synthesis should combine reports before recommendation."
22,1,peer_teaching,0.6806,True,"You are agent_beta in a multi-agent adaptive curriculum task.
Task type: peer_teaching
Task: Teacher explains recursion with one example, learner answers a short transfer check.
Skills: communication_clarity, meta_learning, knowledge_transfer
Turn: 0/8
Give one concise actionable response.","I challenge the plan: explain example why check shows risk, but trade-off on budget. Synthesis should combine reports before recommendation."
23,1,collaborative,0.8338,True,"You are agent_beta in a multi-agent adaptive curriculum task.
Task type: collaborative
Task: Create a joint plan for school wifi rollout in Nagpur with budget 900.
Skills: collaboration, problem_decomposition, communication_clarity
Turn: 0/8
Give one concise actionable response.","I challenge the plan: plan step constraint timeline shows risk, but trade-off on budget. Synthesis should combine reports before recommendation."
24,1,collaborative,0.8322,True,"You are agent_alpha in a multi-agent adaptive curriculum task.
Task type: collaborative
Task: Create a joint plan for flood alert setup in Indore with budget 1100.
Skills: collaboration, problem_decomposition, communication_clarity
Turn: 0/8
Give one concise actionable response.",Plan: gather plan step constraint timeline from sources. Step 1: extract evidence. Step 2: note one trade-off. Step 3: shared summary outline.
25,1,collaborative,0.8314,True,"You are agent_alpha in a multi-agent adaptive curriculum task.
Task type: collaborative
Task: Create a joint plan for community solar pilot in Nagpur with budget 900.
Skills: collaboration, problem_decomposition, communication_clarity
Turn: 0/8
Give one concise actionable response.",Plan: gather plan step constraint timeline from sources. Step 1: extract evidence. Step 2: note one trade-off. Step 3: shared summary outline.
26,1,debate,0.6774,True,"You are agent_alpha in a multi-agent adaptive curriculum task.
Task type: debate
Task: Structured debate on school device funding. Side A and Side B present claim-evidence-rebuttal; judge scores.
Skills: argumentation, information_synthesis, communication_clarity
Turn: 0/8
Give one concise actionable response.",Plan: gather claim evidence rebuttal conclusion from sources. Step 1: extract evidence. Step 2: note one trade-off. Step 3: shared summary outline.
27,1,peer_teaching,0.6774,True,"You are agent_alpha in a multi-agent adaptive curriculum task.
Task type: peer_teaching
Task: Teacher explains binary search with one example, learner answers a short transfer check.
Skills: communication_clarity, meta_learning, knowledge_transfer
Turn: 0/8
Give one concise actionable response.",Plan: gather explain example why check from sources. Step 1: extract evidence. Step 2: note one trade-off. Step 3: shared summary outline.
28,1,collaborative,0.8314,True,"You are agent_beta in a multi-agent adaptive curriculum task.
Task type: collaborative
Task: Create a joint plan for community solar pilot in Nagpur with budget 1300.
Skills: collaboration, problem_decomposition, communication_clarity
Turn: 0/8
Give one concise actionable response.","I challenge the plan: plan step constraint timeline shows risk, but trade-off on budget. Synthesis should combine reports before recommendation."
29,1,debate,0.6774,True,"You are agent_beta in a multi-agent adaptive curriculum task.
Task type: debate
Task: Structured debate on remote work policy. Side A and Side B present claim-evidence-rebuttal; judge scores.
Skills: argumentation, information_synthesis, communication_clarity
Turn: 0/8
Give one concise actionable response.","I challenge the plan: claim evidence rebuttal conclusion shows risk, but trade-off on budget. Synthesis should combine reports before recommendation."
30,1,collaborative,0.8314,True,"You are agent_gamma in a multi-agent adaptive curriculum task.
Task type: collaborative
Task: Create a joint plan for community solar pilot in Pune with budget 1100.
Skills: collaboration, problem_decomposition, communication_clarity
Turn: 0/8
Give one concise actionable response.",Final synthesis: plan step constraint timeline supports one shared recommendation. Summary: phased rollout with evidence and clear trade-off rationale.
